DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA area,restraint
158,1024 32,19 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
159,1024 36,19 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
160,1024 40,19 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
161,1024 44,19 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
162,1024 48,19 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
163,1024 16,20 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
164,1024 20,20 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
165,1024 24,20 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
166,1024 28,20 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
167,1024 32,20 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
168,1024 36,20 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
169,1024 40,20 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
170,1024 44,20 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
171,1024 48,20 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
172,1024 16,21 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
173,1024 20,21 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
174,1024 24,21 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
175,1024 28,21 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
176,1024 32,21 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
177,1024 36,21 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
178,1024 40,21 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
179,1024 44,21 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
180,1024 48,21 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
181,1024 16,22 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
182,1024 20,22 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
183,1024 24,22 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
184,1024 28,22 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
185,1024 32,22 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
186,1024 36,22 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
187,1024 40,22 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
188,1024 44,22 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
189,1024 48,22 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
190,1024 16,23 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
191,1024 20,23 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
192,1024 24,23 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
193,1024 28,23 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
194,1024 32,23 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
195,1024 36,23 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
196,1024 40,23 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
197,1024 44,23 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
198,1024 48,23 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
199,1024 16,24 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
200,1024 20,24 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
201,1024 24,24 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
202,1024 28,24 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
203,1024 32,24 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
204,1024 36,24 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
205,1024 40,24 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
206,1024 44,24 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
207,1024 48,24 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
